Stock(tickertape),Weightage(%),ySymbol,Symbol,Company Name,sector
360 One Wam Ltd,0.11,360ONE,360ONE.NS,360 One Wam Limited,NBFC
3M India Ltd,0.05,3MINDIA,3MINDIA.NS,3M India Limited,IT
Aarti Industries Ltd,0.06,AARTIIND,AARTIIND.NS,Aarti Industries Limited,Agri & Chem
Aavas Financiers Ltd,0.05,AAVAS,AAVAS.NS,Aavas Financiers Limited,NBFC
ABB India Ltd,0.21,ABB,ABB.NS,ABB India Limited,Industrials
Abbott India Ltd,0.08,ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited,Healthcare
ACC Ltd,0.1,ACC,ACC.NS,ACC Limited,Build Mate
Action Construction Equipment Ltd,0.03,ACE,ACE.NS,Action Construction Equipment Limited,Industrials
Adani Enterprises Ltd,0.36,ADANIENT,ADANIENT.NS,Adani Enterprises Limited,Others
Adani Green Energy Ltd,0.32,ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Limited,Utilities
ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,0.63,ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials
Adani Power Ltd,0.38,ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,Utilities
Adani Total Gas Ltd,0.09,ATGL,ATGL.NS,Adani Total Gas Limited,Oil & gas
Adani Wilmar Ltd,0.03,AWL,AWL.NS,Adani Wilmar Limited,Staples
Aditya Birla Capital Ltd,0.07,ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,NBFC
Aditya Birla Fashion and Retail Ltd,0.07,ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,Discretionary
Aether Industries Ltd,0.01,AETHER,AETHER.NS,Aether Industries Limited,Agri & Chem
Affle (India) Ltd,0.05,AFFLE,AFFLE.NS,Affle (India) Limited,IT
AIA Engineering Ltd,0.07,AIAENG,AIAENG.NS,AIA Engineering Limited,Auto & Anc
Ajanta Pharma Ltd,0.07,AJANTPHARM,AJANTPHARM.NS,Ajanta Pharma Limited,Healthcare
Alembic Pharmaceuticals Ltd,0.04,APLLTD,APLLTD.NS,Alembic Pharmaceuticals Limited,Healthcare
Alkem Laboratories Ltd,0.12,ALKEM,ALKEM.NS,Alkem Laboratories Limited,Healthcare
Alkyl Amines Chemicals Ltd,0.02,ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,Agri & Chem
Allcargo Logistics Ltd,0.01,ALLCARGO,ALLCARGO.NS,Allcargo Logistics Limited,Transport
Alok Industries Ltd,0.02,ALOKINDS,ALOKINDS.NS,Alok Industries Limited,Others
Amber Enterprises India Ltd,0.04,AMBER,AMBER.NS,Amber Enterprises India Limited,Discretionary
Ambuja Cements Ltd,0.23,AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Limited,Build Mate
Anand Rathi Wealth Ltd,0.03,ANANDRATHI,ANANDRATHI.NS,Anand Rathi Wealth Limited,NBFC
Angel One Ltd,0.06,ANGELONE,ANGELONE.NS,Angel One Limited,NBFC
Anupam Rasayan India Ltd,0.01,ANURAS,ANURAS.NS,Anupam Rasayan India Ltd,Agri & Chem
Apar Industries Ltd,0.09,APARINDS,APARINDS.NS,APAR Industries Limited,Industrials
APL Apollo Tubes Ltd,0.13,APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Limited,Metals & min
Apollo Hospitals Enterprise Ltd,0.36,APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare
Apollo Tyres Ltd,0.08,APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Limited,Auto & Anc
Aptus Value Housing Finance India Ltd,0.04,APTUS,APTUS.NS,Aptus Value Housing Finance India Limited,NBFC
Archean Chemical Industries Ltd,0.02,ACI,ACI.NS,Archean Chemical Industries Limited,Agri & Chem
Asahi India Glass Ltd,0.03,ASAHIINDIA,ASAHIINDIA.NS,Asahi India Glass Limited,Others
Ashok Leyland Ltd,0.21,ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Limited,Auto & Anc
ASIAN PAINTS LTD.,0.68,ASIANPAINT,ASIANPAINT.NS,Asian Paints Limited,Discretionary
Aster DM Healthcare Ltd,0.05,ASTERDM,ASTERDM.NS,Aster DM Healthcare Limited,Healthcare
Astral Ltd,0.12,ASTRAL,ASTRAL.NS,Astral Limited,Others
Astrazeneca Pharma India Ltd,0.02,ASTRAZEN,ASTRAZEN.NS,AstraZeneca Pharma India Limited,Healthcare
Atul Ltd,0.06,ATUL,ATUL.NS,Atul Ltd,Agri & Chem
AU Small Finance Bank Ltd,0.16,AUBANK,AUBANK.NS,AU Small Finance Bank Limited,Banks
Aurobindo Pharma Ltd,0.22,AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Limited,Healthcare
Avanti Feeds Ltd,0.01,AVANTIFEED,AVANTIFEED.NS,Avanti Feeds Limited,Others
Avenue Supermarts Ltd,0.4,DMART,DMART.NS,Avenue Supermarts Limited,Discretionary
AXIS BANK LTD.,1.95,AXISBANK,AXISBANK.NS,Axis Bank Limited,Banks
BAJAJ AUTO LIMITED,0.71,BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Limited,Auto & Anc
BAJAJ FINANCE LIMITED,1.02,BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,NBFC
Bajaj Finserv Ltd,0.54,BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,NBFC
Bajaj Holdings and Investment Ltd,0.22,BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Limited,NBFC
Balaji Amines Ltd,0.01,BALAMINES,BALAMINES.NS,Balaji Amines Limited,Agri & Chem
Balkrishna Industries Ltd,0.13,BALKRISIND,BALKRISIND.NS,Balkrishna Industries Limited,Auto & Anc
Balrampur Chini Mills Ltd,0.03,BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini Mills Limited,Staples
Bandhan Bank Ltd,0.09,BANDHANBNK,BANDHANBNK.NS,Bandhan Bank Limited,Banks
Bank of Baroda Ltd,0.22,BANKBARODA,BANKBARODA.NS,Bank of Baroda Limited,Banks
Bank of India Ltd,0.07,BANKINDIA,BANKINDIA.NS,Bank of India Limited,Banks
Bank of Maharashtra Ltd,0.03,MAHABANK,MAHABANK.NS,Bank of Maharashtra,Banks
Bata India Ltd,0.05,BATAINDIA,BATAINDIA.NS,Bata India Limited,Discretionary
Bayer Cropscience Ltd,0.04,BAYERCROP,BAYERCROP.NS,Bayer CropScience Limited,Agri & Chem
BEML Ltd,0.04,BEML,BEML.NS,BEML Limited,Industrials
Berger Paints India Ltd,0.08,BERGEPAINT,BERGEPAINT.NS,Berger Paints India Limited,Discretionary
Bharat Dynamics Ltd,0.06,BDL,BDL.NS,Bharat Dynamics Limited,Industrials
Bharat Electronics Ltd,0.51,BEL,BEL.NS,Bharat Electronics Limited,Discretionary
Bharat Forge Ltd,0.2,BHARATFORG,BHARATFORG.NS,Bharat Forge Limited,Auto & Anc
Bharat Heavy Electricals Ltd,0.18,BHEL,BHEL.NS,Bharat Heavy Electricals Limited,Industrials
Bharat Petroleum Corporation Ltd,0.35,BPCL,BPCL.NS,Bharat Petroleum Corporation Limited,Oil & gas
BHARTI AIRTEL  LTD.,2,BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Limited,Tele & Media
Bikaji Foods International Ltd,0.03,BIKAJI,BIKAJI.NS,Bikaji Foods International Limited,Staples
Biocon Ltd,0.08,BIOCON,BIOCON.NS,Biocon Limited,Healthcare
Birla Corporation Ltd,0.02,BIRLACORPN,BIRLACORPN.NS,Birla Corporation Limited,Build Mate
Birlasoft Ltd,0.05,BSOFT,BSOFT.NS,Birlasoft Limited,IT
Bls International Services Ltd,0.02,BLS,BLS.NS,BLS International Services Limited,IT
Blue Dart Express Ltd,0.03,BLUEDART,BLUEDART.NS,Blue Dart Express Limited,Transport
Blue Star Ltd,0.13,BLUESTARCO,BLUESTARCO.NS,Blue Star Limited,Discretionary
Bombay Burmah Trading Corporation Ltd,0.02,BBTC,BBTC.NS,"The Bombay Burmah Trading Corporation, Limited",IT
Borosil Renewables Ltd,0.01,BORORENEW,BORORENEW.NS,Borosil Renewables Limited,Others
Bosch Ltd,0.15,BOSCHLTD,BOSCHLTD.NS,Bosch Limited,Auto & Anc
Brigade Enterprises Ltd,0.09,BRIGADE,BRIGADE.NS,Brigade Enterprises Limited,Build Mate
Britannia Industries Ltd,0.38,BRITANNIA,BRITANNIA.NS,Britannia Industries Limited,Staples
BSE Ltd,0.27,BSE,BSE.NS,BSE Limited,Others
Campus Activewear Ltd,0.01,CAMPUS,CAMPUS.NS,Campus Activewear Limited,Discretionary
Can Fin Homes Ltd,0.04,CANFINHOME,CANFINHOME.NS,Can Fin Homes Limited,NBFC
Canara Bank Ltd,0.18,CANBK,CANBK.NS,Canara Bank,Banks
Caplin Point Laboratories Ltd,0.02,CAPLIPOINT,CAPLIPOINT.NS,Caplin Point Laboratories Limited,Healthcare
Capri Global Capital Ltd,0.02,CGCL,CGCL.NS,Capri Global Capital Limited,NBFC
Carborundum Universal Ltd,0.09,CARBORUNIV,CARBORUNIV.NS,Carborundum Universal Limited,Industrials
Castrol India Ltd,0.06,CASTROLIND,CASTROLIND.NS,Castrol India Limited,Agri & Chem
CCL Products (India) Ltd,0.03,CCL,CCL.NS,CCL Products (India) Limited,Staples
CE Info Systems Ltd,0.01,MAPMYINDIA,MAPMYINDIA.NS,C. E. Info Systems Limited,IT
CEAT Ltd,0.06,CEATLTD,CEATLTD.NS,CEAT Limited,Auto & Anc
Central Bank of India Ltd,0.02,CENTRALBK,CENTRALBK.NS,Central Bank of India,Banks
Central Depository Services (India) Ltd,0.16,CDSL,CDSL.NS,Central Depository Services (India) Limited,Others
Century Plyboards (India) Ltd,0.03,CENTURYPLY,CENTURYPLY.NS,Century Plyboards (India) Limited,Others
Century Textiles and Industries Ltd,0.07,CENTURYTEX,CENTURYTEX.NS,Aditya Birla Real Estate Limited,Others
Cera Sanitaryware Ltd,0.02,CERA,CERA.NS,Cera Sanitaryware Limited,Build Mate
CESC Ltd,0.12,CESC,CESC.NS,CESC Limited,Utilities
CG Power and Industrial Solutions Ltd,0.24,CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Limited,Industrials
Chalet Hotels Ltd,0.03,CHALET,CHALET.NS,Chalet Hotels Limited,Discretionary
Chambal Fertilisers and Chemicals Ltd,0.04,CHAMBLFERT,CHAMBLFERT.NS,Chambal Fertilisers and Chemicals Limited,Agri & Chem
Chemplast Sanmar Ltd,0.02,CHEMPLASTS,CHEMPLASTS.NS,Chemplast Sanmar Limited,Agri & Chem
Chennai Petroleum Corporation Ltd,0.02,CHENNPETRO,CHENNPETRO.NS,Chennai Petroleum Corporation Limited,Oil & gas
Cholamandalam Financial Holdings Ltd,0.1,CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,NBFC
Cholamandalam Investment and Finance Company Ltd,0.35,CHOLAHLDNG,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,NBFC
CIE Automotive India Ltd,0.04,CIEINDIA,CIEINDIA.NS,CIE Automotive India Limited,Auto & Anc
Cipla Ltd,0.47,CIPLA,CIPLA.NS,Cipla Limited,Healthcare
City Union Bank Ltd,0.06,CUB,CUB.NS,City Union Bank Limited,Banks
Clean Science and Technology Ltd,0.02,CLEAN,CLEAN.NS,Clean Science and Technology Limited,Agri & Chem
Coal India Ltd,0.58,COALINDIA,COALINDIA.NS,Coal India Limited,Metals & min
Cochin Shipyard Ltd,0.06,COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard Limited,Industrials
Coforge Ltd,0.24,COFORGE,COFORGE.NS,Coforge Limited,IT
Colgate-Palmolive (India) Ltd,0.25,COLPAL,COLPAL.NS,Colgate-Palmolive (India) Limited,Staples
Computer Age Management Services Ltd,0.11,CAMS,CAMS.NS,Computer Age Management Services Limited,Others
Container Corporation of India Ltd,0.13,CONCOR,CONCOR.NS,Container Corporation of India Limited,Transport
Coromandel International Ltd,0.11,COROMANDEL,COROMANDEL.NS,Coromandel International Limited,Agri & Chem
Craftsman Automation Ltd,0.04,CRAFTSMAN,CRAFTSMAN.NS,Craftsman Automation Limited,Auto & Anc
CreditAccess Grameen Ltd,0.03,CREDITACC,CREDITACC.NS,CreditAccess Grameen Limited,NBFC
CRISIL Ltd,0.05,CRISIL,CRISIL.NS,CRISIL Limited,NBFC
Crompton Greaves Consumer Electricals Ltd,0.15,CROMPTON,CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,Industrials
CSB Bank Ltd,0.01,CSBBANK,CSBBANK.NS,CSB Bank Limited,Banks
Cummins India Ltd,0.27,CUMMINSIND,CUMMINSIND.NS,Cummins India Limited,Industrials
Cyient Ltd,0.09,CYIENT,CYIENT.NS,Cyient Limited,IT
Dabur India Ltd,0.19,DABUR,DABUR.NS,Dabur India Limited,Staples
Dalmia Bharat Ltd,0.07,DALBHARAT,DALBHARAT.NS,Dalmia Bharat Limited,Build Mate
Data Patterns (India) Ltd,0.03,DATAPATTNS,DATAPATTNS.NS,Data Patterns (India) Limited,Discretionary
DCM Shriram Ltd,0.02,DCMSHRIRAM,DCMSHRIRAM.NS,DCM Shriram Limited,Discretionary
Deepak Fertilisers and Petrochemicals Corp Ltd,0.04,DEEPAKFERT,DEEPAKFERT.NS,Deepak Fertilisers And Petrochemicals Corporation Limited,Agri & Chem
Deepak Nitrite Ltd,0.1,DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite Limited,Agri & Chem
Delhivery Ltd,0.11,DELHIVERY,DELHIVERY.NS,Delhivery Limited,Transport
Devyani International Ltd,0.04,DEVYANI,DEVYANI.NS,Devyani International Limited,Discretionary
Divi's Laboratories Ltd,0.36,DIVISLAB,DIVISLAB.NS,Divi's Laboratories Limited,Healthcare
Dixon Technologies (India) Ltd,0.24,DIXON,DIXON.NS,Dixon Technologies (India) Limited,Discretionary
DLF Ltd,0.29,DLF,DLF.NS,DLF Limited,Build Mate
Dr Reddy's Laboratories Ltd,0.4,DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Limited,Healthcare
Dr. Lal PathLabs Ltd,0.06,LALPATHLAB,LALPATHLAB.NS,Dr. Lal PathLabs Limited,Healthcare
E I D-Parry (India) Ltd,0.04,EIDPARRY,EIDPARRY.NS,E.I.D.- Parry (India) Limited,Staples
Easy Trip Planners Ltd,0.01,EASEMYTRIP,EASEMYTRIP.NS,Easy Trip Planners Limited,Others
eClerx Services Limited,0.03,ECLERX,ECLERX.NS,eClerx Services Limited,IT
Eicher Motors Ltd,0.34,EICHERMOT,EICHERMOT.NS,Eicher Motors Limited,Auto & Anc
EIH Ltd,0.04,EIHOTEL,EIHOTEL.NS,EIH Limited,Discretionary
Elecon Engineering Company Ltd,0.03,ELECON,ELECON.NS,Elecon Engineering Company Limited,Industrials
Elgi Equipments Ltd,0.06,ELGIEQUIP,ELGIEQUIP.NS,Elgi Equipments Limited,Industrials
Emami Ltd,0.07,EMAMILTD,EMAMILTD.NS,Emami Limited,Staples
Endurance Technologies Ltd,0.04,ENDURANCE,ENDURANCE.NS,Endurance Technologies Limited,Auto & Anc
Engineers India Ltd,0.03,ENGINERSIN,ENGINERSIN.NS,Engineers India Limited,Industrials
EPL Ltd,0.02,EPL,EPL.NS,EPL Limited,Discretionary
Equitas Small Finance Bank Ltd,0.04,EQUITASBNK,EQUITASBNK.NS,Equitas Small Finance Bank Limited,Banks
Eris Lifesciences Ltd,0.03,ERIS,ERIS.NS,Eris Lifesciences Limited,Healthcare
Escorts Kubota Ltd,0.05,ESCORTS,ESCORTS.NS,Escorts Kubota Limited,Auto & Anc
Exide Industries Ltd,0.1,EXIDEIND,EXIDEIND.NS,Exide Industries Limited,Auto & Anc
F D C Ltd,0.01,FDC,FDC.NS,FDC Limited,Healthcare
Federal Bank Ltd,0.21,FEDERALBNK,FEDERALBNK.NS,The Federal Bank Limited,Banks
Fertilisers And Chemicals Travancore Ltd,0.34,FACT,FACT.NS,The Fertilisers and Chemicals Travancore Limited,Agri & Chem
Fine Organic Industries Ltd,0.02,FINEORG,FINEORG.NS,Fine Organic Industries Limited,Agri & Chem
Finolex Cables Ltd,0.05,FINCABLES,FINCABLES.NS,Finolex Cables Limited,Discretionary
Finolex Industries Ltd,0.04,FINPIPE,FINPIPE.NS,Finolex Industries Limited,Others
Firstsource Solutions Ltd,0.05,FSL,FSL.NS,Firstsource Solutions Limited,IT
Five-Star Business Finance Ltd,0.08,FIVESTAR,FIVESTAR.NS,Five-Star Business Finance Limited,NBFC
Fortis Healthcare Ltd,0.15,FORTIS,FORTIS.NS,Fortis Healthcare Limited,Healthcare
Fsn E-Commerce Ventures Ltd,0.11,NYKAA,NYKAA.NS,FSN E-Commerce Ventures Limited,Others
Gail (India) Ltd,0.31,GAIL,GAIL.NS,GAIL (India) Limited,Oil & gas
Garden Reach Shipbuilders & Engineers Ltd,0.03,GRSE,GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,Industrials
General Insurance Corporation of India,0.06,GICRE,GICRE.NS,General Insurance Corporation of India,NBFC
GILLETTE INDIA LTD.,0.03,GILLETTE,GILLETTE.NS,Gillette India Limited,Staples
Gland Pharma Ltd,0.07,GLAND,GLAND.NS,Gland Pharma Limited,Healthcare
GlaxoSmithKline Pharmaceuticals Ltd,0.06,GLAXO,GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,Healthcare
Glenmark Life Sciences Ltd,0.02,GLENMARK,GLENMARK.NS,Glenmark Pharmaceuticals Limited,Healthcare
Glenmark Pharmaceuticals Ltd,0.12,GLS,GLS.NS,Glenmark Life Sciences Limited,Healthcare
Global Health Ltd,0.05,MEDANTA,MEDANTA.NS,Global Health Limited,Healthcare
GMM Pfaudler Ltd,0.02,GMMPFAUDLR,GMMPFAUDLR.NS,GMM Pfaudler Limited,Industrials
GMR Airports Ltd,0.27,GMRINFRA,GMRINFRA.NS,GMR Airports Limited,Industrials
Godawari Power and Ispat Ltd,0.02,GPIL,GPIL.NS,Godawari Power & Ispat Limited,Metals & min
Godfrey Phillips India Ltd,0.05,GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips India Limited,Staples
Godrej Consumer Products Ltd,0.27,GODREJCP,GODREJCP.NS,Godrej Consumer Products Limited,Staples
Godrej Industries Ltd,0.04,GODREJIND,GODREJIND.NS,Godrej Industries Limited,Agri & Chem
Godrej Properties Ltd,0.15,GODREJPROP,GODREJPROP.NS,Godrej Properties Limited,Build Mate
Granules India Ltd,0.04,GRANULES,GRANULES.NS,Granules India Limited,Healthcare
Graphite India Ltd,0.02,GRAPHITE,GRAPHITE.NS,Graphite India Limited,Industrials
Grasim Industries Ltd,0.42,GRASIM,GRASIM.NS,Grasim Industries Limited,Others
Great Eastern Shipping Company Ltd,0.06,GESHIP,GESHIP.NS,The Great Eastern Shipping Company Limited,Transport
Grindwell Norton Ltd,0.06,GRINDWELL,GRINDWELL.NS,Grindwell Norton Limited,Industrials
Gujarat Ambuja Exports Ltd,0.01,GAEL,GAEL.NS,Gujarat Ambuja Exports Limited,Staples
Gujarat Fluorochemicals Ltd,0.08,FLUOROCHEM,FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,Agri & Chem
Gujarat Gas Ltd,0.06,GUJGASLTD,GUJGASLTD.NS,Gujarat Gas Limited,Oil & gas
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,0.03,GNFC,GNFC.NS,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Agri & Chem
Gujarat Mineral Development Corporation Ltd,0.02,GMDCLTD,GMDCLTD.NS,Gujarat Mineral Development Corporation Limited,Metals & min
Gujarat Pipavav Port Ltd,0.03,GPPL,GPPL.NS,Gujarat Pipavav Port Limited,Others
Gujarat State Fertilizers & Chemicals Ltd,0.03,GSFC,GSFC.NS,Gujarat State Fertilizers & Chemicals Limited,Agri & Chem
Gujarat State Petronet Ltd,0.06,GSPL,GSPL.NS,Gujarat State Petronet Limited,Oil & gas
Happiest Minds Technologies Ltd,0.03,HAPPSTMNDS,HAPPSTMNDS.NS,Happiest Minds Technologies Limited,IT
Havells India Ltd,0.23,HAVELLS,HAVELLS.NS,Havells India Limited,Industrials
HBL Power Systems Ltd,0.08,HBLPOWER,HBLPOWER.NS,HBL Power Systems Limited,Others
HCL TECHNOLOGIES LTD,0.96,HCLTECH,HCLTECH.NS,HCL Technologies Limited,IT
HDFC Asset Management Company Ltd,0.22,HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Limited,NBFC
HDFC BANK LTD.,6.61,HDFCBANK,HDFCBANK.NS,HDFC Bank Limited,Banks
HDFC Life Insurance Company Ltd,0.34,HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Limited,NBFC
HEG Ltd,0.02,HEG,HEG.NS,HEG Limited,Industrials
Hero MotoCorp Ltd,0.39,HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp Limited,Auto & Anc
HFCL Ltd,0.07,HFCL,HFCL.NS,HFCL Limited,Industrials
Himadri Speciality Chemical Ltd,0.07,HSCL,HSCL.NS,Himadri Speciality Chemical Limited,Agri & Chem
Hindalco Industries Ltd,0.5,HINDALCO,HINDALCO.NS,Hindalco Industries Limited,Metals & min
Hindustan Aeronautics Ltd,0.44,HAL,HAL.NS,Hindustan Aeronautics Limited,Industrials
Hindustan Copper Ltd,0.05,HINDCOPPER,HINDCOPPER.NS,Hindustan Copper Limited,Metals & min
Hindustan Petroleum Corp Ltd,0.2,HINDPETRO,HINDPETRO.NS,Hindustan Petroleum Corporation Limited,Oil & gas
"HINDUSTAN UNILEVER LTD.,",1.33,HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Limited,Staples
Hindustan Zinc Ltd,0.06,HINDZINC,HINDZINC.NS,Hindustan Zinc Limited,Metals & min
Hitachi Energy India Ltd,0.07,POWERINDIA,POWERINDIA.NS,Hitachi Energy India Limited,Industrials
Home First Finance Company India Ltd,0.03,HOMEFIRST,HOMEFIRST.NS,Home First Finance Company India Limited,NBFC
Honeywell Automation India Ltd,0.06,HONAUT,HONAUT.NS,Honeywell Automation India Limited,Discretionary
Housing and Urban Development Corporation Ltd,0.03,HUDCO,HUDCO.NS,Housing and Urban Development Corporation Limited,NBFC
ICICI BANK LTD.,4.62,ICICIBANK,ICICIBANK.NS,ICICI Bank Limited,Banks
ICICI Lombard General Insurance Company Ltd,0.25,ICICIGI,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,NBFC
ICICI Prudential Life Insurance Company Ltd,0.14,ICICIPRULI,ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited,NBFC
ICICI Securities Ltd,0.04,ISEC,ISEC.NS,ICICI Securities Limited,NBFC
IDBI Bank Ltd,0.27,IDBI,IDBI.NS,IDBI Bank Limited,Banks
IIFL Finance Ltd,0.06,IIFL,IIFL.NS,IIFL Finance Limited,NBFC
India Cements Ltd,0.03,INDIACEM,INDIACEM.NS,The India Cements Limited,Build Mate
Indiamart Intermesh Ltd,0.04,INDIAMART,INDIAMART.NS,IndiaMART InterMESH Limited,Others
Indian Bank,0.09,INDIANB,INDIANB.NS,Indian Bank,Banks
Indian Energy Exchange Ltd,0.09,IEX,IEX.NS,Indian Energy Exchange Limited,Others
Indian Hotels Company Ltd,0.3,INDHOTEL,INDHOTEL.NS,The Indian Hotels Company Limited,Discretionary
Indian Oil Corporation Ltd,0.33,IOC,IOC.NS,Indian Oil Corporation Limited,Oil & gas
Indian Overseas Bank,0.02,IOB,IOB.NS,Indian Overseas Bank,Banks
Indian Railway Catering and Tourism Corporation Ltd,0.14,IRCTC,IRCTC.NS,Indian Railway Catering & Tourism Corporation Limited,Transport
Indian Railway Finance Corp Ltd,0.15,IRFC,IRFC.NS,Indian Railway Finance Corporation Limited,NBFC
Indigo Paints Ltd,0.02,INDIGOPNTS,INDIGOPNTS.NS,Indigo Paints Limited,Discretionary
Indraprastha Gas Ltd,0.1,IGL,IGL.NS,Indraprastha Gas Limited,Oil & gas
Indus Towers Ltd,0.28,INDUSTOWER,INDUSTOWER.NS,Indus Towers Limited,Tele & Media
Indusind Bank Ltd,0.47,INDUSINDBK,INDUSINDBK.NS,IndusInd Bank Limited,Banks
Info Edge (India) Ltd,0.28,NAUKRI,NAUKRI.NS,Info Edge (India) Limited,Others
INFOSYS LTD,3.44,INFY,INFY.NS,Infosys Limited,IT
Inox Wind Ltd,0.07,INOXWIND,INOXWIND.NS,Inox Wind Limited,Industrials
Intellect Design Arena Ltd,0.04,INTELLECT,INTELLECT.NS,Intellect Design Arena Limited,IT
Interglobe Aviation Ltd,0.48,INDIGO,INDIGO.NS,InterGlobe Aviation Limited,Transport
IPCA Laboratories Ltd,0.1,IPCALAB,IPCALAB.NS,Ipca Laboratories Limited,Healthcare
IRB Infrastructure Developers Ltd,0.06,IRB,IRB.NS,IRB Infrastructure Developers Limited,Build Mate
Ircon International Ltd,0.04,IRCON,IRCON.NS,Ircon International Limited,Build Mate
ITC LTD,2.37,ITC,ITC.NS,ITC Limited,Staples
ITI Ltd,0,ITI,ITI.NS,ITI Limited,Tele & Media
